mt-m0 (GeV)    dN/mtdmt       error          
0.002          7.74713e-06    0              
0.006          7.73754e-06    0              
0.01           1.1592e-05     4.01606e-06    
0.014          3.85922e-06    0              
0.018          3.85446e-06    4.01606e-06    
0.022          1.15491e-05    0              
0.026          7.68994e-06    0              
0.03           3.84025e-06    0              
0.034          0              0              
0.038          0              0              
0.042          7.65228e-06    0              
0.046          1.14644e-05    0              
0.05           3.81679e-06    0              
0.054          3.81214e-06    0              
0.058          3.80749e-06    0              
0.062          3.80286e-06    4.01606e-06    
0.066          3.79824e-06    0              
0.07           7.58725e-06    4.01606e-06    
0.074          0              4.01606e-06    
0.078          3.78444e-06    4.01606e-06    
0.082          3.77986e-06    4.01606e-06    
0.086          0              0              
0.09           3.77074e-06    0              
0.094          0              0              
0.098          0              0              
0.102          7.51428e-06    5.67957e-06    
0.106          7.50525e-06    0              
0.11           1.12444e-05    0              
0.114          7.48727e-06    0              
0.118          0              4.01606e-06    
0.122          0              4.01606e-06    
0.126          7.46046e-06    4.01606e-06    
0.13           7.45156e-06    4.01606e-06    
0.134          3.72135e-06    4.01606e-06    
0.138          7.43384e-06    0              
0.142          7.42501e-06    0              
0.146          1.11243e-05    4.01606e-06    
0.15           7.40741e-06    0              
0.154          7.39864e-06    0              
0.158          7.38989e-06    0              
0.162          7.38116e-06    0              
0.166          3.68623e-06    4.01606e-06    
0.17           7.36377e-06    4.01606e-06    
0.174          0              5.67957e-06    
0.178          7.34646e-06    4.01606e-06    
0.182          1.10068e-05    0              
0.186          3.66461e-06    4.01606e-06    
0.19           0              4.01606e-06    
0.194          0              4.01606e-06    
0.198          3.65177e-06    0              
0.202          0              4.01606e-06    
0.206          1.09298e-05    0              
0.21           7.27802e-06    4.01606e-06    
0.214          1.45391e-05    4.01606e-06    
0.218          1.08917e-05    4.01606e-06    
0.222          0              0              
0.226          3.62214e-06    4.01606e-06    
0.23           1.44718e-05    0              
0.234          7.22752e-06    0              
0.238          3.60959e-06    4.01606e-06    
0.242          1.44217e-05    0              
0.246          3.60127e-06    4.01606e-06    
0.25           1.43885e-05    0              
0.254          0              0              
0.258          0              0              
0.262          0              5.67957e-06    
0.266          0              4.01606e-06    
0.27           1.07296e-05    5.67957e-06    
0.274          0              5.67957e-06    
0.278          0              5.67957e-06    
0.282          1.06929e-05    0              
0.286          1.06807e-05    0              
0.29           3.55619e-06    5.67957e-06    
0.294          7.10429e-06    5.67957e-06    
0.298          7.09622e-06    0              
0.302          3.54409e-06    4.01606e-06    
0.306          3.54007e-06    5.67957e-06    
0.31           0              5.67957e-06    
0.314          7.06414e-06    5.67957e-06    
0.318          0              5.67957e-06    
0.322          3.5241e-06     5.67957e-06    
0.326          3.52014e-06    5.67957e-06    
0.33           0              5.67957e-06    
0.334          0              5.67957e-06    
0.338          7.01656e-06    0              
0.342          7.00869e-06    5.67957e-06    
0.346          7.00084e-06    0              
0.35           3.4965e-06     5.67957e-06    
0.354          0              6.95603e-06    
0.358          3.4887e-06     4.01606e-06    
0.362          1.04544e-05    0              
0.366          3.48092e-06    0              
0.37           6.9541e-06     4.01606e-06    
0.374          6.94637e-06    4.01606e-06    
0.378          1.38773e-05    5.67957e-06    
0.382          3.46548e-06    8.98019e-06    
0.386          3.46164e-06    8.03213e-06    
0.39           6.91563e-06    0              
0.394          0              4.01606e-06    
0.398          3.45018e-06    8.03213e-06    
0.402          0              5.67957e-06    
0.406          1.37703e-05    6.95603e-06    
0.41           1.03164e-05    5.67957e-06    
0.414          3.43501e-06    8.03213e-06    
0.418          3.43124e-06    4.01606e-06    
0.422          6.85495e-06    0              
0.426          6.84744e-06    0              
0.43           3.41997e-06    4.01606e-06    
0.434          0              5.67957e-06    
0.438          1.02375e-05    0              
0.442          6.81756e-06    4.01606e-06    
0.446          3.40507e-06    8.98019e-06    
0.45           3.40136e-06    4.01606e-06    
0.454          3.39766e-06    8.03213e-06    
0.458          0              4.01606e-06    
0.462          6.78058e-06    4.01606e-06    
0.466          0              0              
0.47           6.7659e-06     5.67957e-06    
0.474          0              4.01606e-06    
0.478          3.37564e-06    4.01606e-06    
0.482          3.372e-06      0              
0.486          3.36836e-06    4.01606e-06    
0.49           6.72948e-06    8.03213e-06    
0.494          6.72224e-06    4.01606e-06    
0.498          6.71501e-06    4.01606e-06    
0.502          3.3539e-06     5.67957e-06    
0.506          0              6.95603e-06    
0.51           6.69344e-06    5.67957e-06    
0.514          3.34314e-06    6.95603e-06    
0.518          6.67913e-06    8.03213e-06    
0.522          3.336e-06      4.01606e-06    
0.526          3.33244e-06    5.67957e-06    
0.53           6.65779e-06    4.01606e-06    
0.534          0              5.67957e-06    
0.538          3.32182e-06    8.03213e-06    
0.542          0              6.95603e-06    
0.546          0              4.01606e-06    
0.55           0              6.95603e-06    
0.554          0              4.01606e-06    
0.558          0              6.95603e-06    
0.562          0              6.95603e-06    
0.566          0              4.01606e-06    
0.57           3.29381e-06    4.01606e-06    
0.574          9.87102e-06    5.67957e-06    
0.578          0              4.01606e-06    
0.582          3.28343e-06    4.01606e-06    
0.586          0              5.67957e-06    
0.59           3.27654e-06    5.67957e-06    
0.594          6.54622e-06    6.95603e-06    
0.598          0              6.95603e-06    
0.602          6.53253e-06    0              
0.606          3.26286e-06    6.95603e-06    
0.61           3.25945e-06    5.67957e-06    
0.614          0              5.67957e-06    
0.618          3.25267e-06    5.67957e-06    
0.622          0              4.01606e-06    
0.626          3.24591e-06    0              
0.63           0              0              
0.634          0              0              
0.638          6.47165e-06    0              
0.642          0              4.01606e-06    
0.646          6.45828e-06    6.95603e-06    
0.65           6.45161e-06    4.01606e-06    
0.654          6.44496e-06    4.01606e-06    
0.658          3.21916e-06    5.67957e-06    
0.662          6.4317e-06     5.67957e-06    
0.666          3.21254e-06    5.67957e-06    
0.67           6.41849e-06    4.01606e-06    
0.674          9.61785e-06    4.01606e-06    
0.678          0              0              
0.682          0              5.67957e-06    
0.686          6.39223e-06    4.01606e-06    
0.69           3.19285e-06    6.95603e-06    
0.694          3.18959e-06    6.95603e-06    
0.698          0              6.95603e-06    
