mt-m0 (GeV)    dN/mtdmt       error          
0.746          3.14782e-06    5.67957e-06    
0.75           3.14465e-06    0              
0.754          0              4.01606e-06    
0.758          0              5.67957e-06    
0.762          3.13519e-06    8.03213e-06    
0.766          0              4.01606e-06    
0.77           6.25782e-06    0              
0.774          3.12578e-06    8.03213e-06    
0.778          3.12266e-06    6.95603e-06    
0.782          6.23908e-06    4.01606e-06    
0.786          3.11643e-06    5.67957e-06    
0.79           0              4.01606e-06    
0.794          0              4.01606e-06    
0.798          3.10713e-06    5.67957e-06    
0.802          9.31214e-06    5.67957e-06    
0.806          6.20194e-06    5.67957e-06    
0.81           3.09789e-06    6.95603e-06    
0.814          0              5.67957e-06    
0.818          6.18353e-06    0              
0.822          0              5.67957e-06    
0.826          3.08566e-06    0              
0.83           3.08261e-06    0              
0.834          0              6.95603e-06    
0.838          3.07654e-06    4.01606e-06    
0.842          0              0              
0.846          6.141e-06      0              
0.85           3.06748e-06    0              
0.854          3.06448e-06    4.01606e-06    
0.858          0              0              
0.862          6.11696e-06    0              
0.866          3.05549e-06    4.01606e-06    
0.87           6.10501e-06    0              
0.874          3.04952e-06    4.01606e-06    
0.878          3.04655e-06    4.01606e-06    
0.882          0              0              
0.886          0              4.01606e-06    
0.89           6.07533e-06    0              
0.894          0              4.01606e-06    
0.898          0              0              
0.902          0              0              
0.906          0              5.67957e-06    
0.91           3.02297e-06    4.01606e-06    
0.914          6.04011e-06    0              
0.918          0              0              
0.922          0              0              
0.926          3.01132e-06    4.01606e-06    
0.93           0              4.01606e-06    
0.934          0              4.01606e-06    
0.938          0              0              
0.942          0              0              
0.946          0              0              
0.95           0              0              
0.954          2.99115e-06    4.01606e-06    
0.958          0              0              
0.962          0              0              
0.966          0              0              
0.97           0              0              
0.974          0              4.01606e-06    
0.978          2.97407e-06    0              
0.982          0              5.67957e-06    
0.986          0              0              
0.99           0              0              
0.994          2.96279e-06    0              
0.998          2.95998e-06    4.01606e-06    
1.002          0              4.01606e-06    
1.006          0              0              
1.01           0              0              
1.014          0              0              
1.018          2.94603e-06    0              
1.022          0              0              
1.026          0              4.01606e-06    
1.03           2.93772e-06    0              
1.034          0              4.01606e-06    
1.038          0              4.01606e-06    
1.042          0              0              
1.046          0              0              
1.05           0              0              
1.054          0              0              
1.058          0              5.67957e-06    
1.062          5.83158e-06    0              
1.066          0              0              
1.07           2.91036e-06    0              
1.074          0              4.01606e-06    
1.078          0              0              
1.082          0              4.01606e-06    
1.086          0              0              
1.09           0              0              
1.094          0              0              
1.098          0              0              
1.102          2.88884e-06    4.01606e-06    
1.106          0              4.01606e-06    
1.11           2.88351e-06    0              
1.114          0              0              
1.118          2.87819e-06    0              
1.122          0              0              
1.126          0              0              
1.13           0              4.01606e-06    
1.134          0              0              
1.138          0              0              
1.142          0              0              
1.146          0              0              
1.15           0              0              
1.154          0              5.67957e-06    
1.158          0              0              
1.162          2.84933e-06    4.01606e-06    
1.166          0              4.01606e-06    
1.17           0              0              
1.174          0              0              
1.178          0              0              
1.182          0              0              
1.186          0              0              
1.19           0              0              
1.194          0              0              
1.198          0              0              
1.202          2.82358e-06    0              
1.206          0              0              
1.21           0              0              
1.214          0              0              
1.218          5.62683e-06    0              
1.222          0              0              
1.226          0              0              
1.23           0              0              
1.234          0              0              
1.238          0              0              
1.242          0              0              
1.246          0              0              
1.25           0              0              
1.254          2.7908e-06     0              
1.258          0              0              
1.262          0              0              
1.266          2.78334e-06    0              
1.27           0              0              
1.274          0              0              
1.278          0              0              
1.282          0              0              
1.286          0              0              
1.29           0              0              
1.294          0              0              
1.298          0              0              
1.302          0              0              
1.306          0              0              
1.31           0              0              
1.314          2.75391e-06    0              
1.318          0              0              
1.322          0              0              
1.326          0              0              
1.33           2.74424e-06    0              
1.334          0              0              
1.338          0              0              
1.342          2.73703e-06    0              
1.346          0              0              
1.35           0              0              
1.354          0              0              
1.358          0              0              
1.362          0              0              
